"Row Type,City name,City ID,Cost,Clicks,Impr,Cost/wt action,Weighted actions,Avg CPC,CTR,Avg pos"
",Risingsun,1023962,0.00,0,0,,0.00,,,"
",Mechanicville,1023135,27.11,6,29,1.69,16.00,4.52,0.2069,"
",Auburn,1019132,0.00,0,5,,0.00,,0.0000,"
",Summersville,1028426,10.07,2,8,5.04,2.00,5.04,0.2500,"
",Chester,1024732,0.00,0,13,,0.00,,0.0000,"
",Rossville,1015495,4.72,1,4,2.36,2.00,4.72,0.2500,"
",North Port,1015140,0.00,0,8,,0.00,,0.0000,"
",Elko New Market,9051902,0.00,0,3,,0.00,,0.0000,"
",Pennsauken Township,1022338,0.00,0,9,,0.00,,0.0000,"
",Phoenix,1013462,343.84,75,1048,2.25,153.00,4.58,0.0716,"
",Bethesda,1018516,36.56,8,128,2.15,17.00,4.57,0.0625,"
",Lilburn,1015413,5.00,1,16,,0.00,5.00,0.0625,"
",Metairie,1018028,23.21,6,82,1.29,18.00,3.87,0.0732,"
",Temple,1015527,0.00,0,3,,0.00,,0.0000,"
",Olathe,1017588,28.65,6,47,3.18,9.00,4.78,0.1277,"
",Tuscaloosa,1013139,20.95,4,36,20.95,1.00,5.24,0.1111,"
",Rockville,1027272,0.00,0,4,,0.00,,0.0000,"
",St. Cloud,1020086,36.53,7,27,9.13,4.00,5.22,0.2593,"
",Altamonte Springs,1014943,3.39,1,26,0.56,6.00,3.39,0.0385,"
",Plant City,1015172,9.43,2,27,4.71,2.00,4.71,0.0741,"
",Manitowoc,1028060,10.23,3,9,0.85,12.00,3.41,0.3333,"
",Colorado Springs,1014471,115.49,26,234,2.41,48.00,4.44,0.1111,"
",Mount Kisco,1023173,8.90,2,23,4.45,2.00,4.45,0.0870,"
",Arbuckle,1013551,0.00,0,0,,0.00,,,"
",Riverview,9052754,9.13,2,30,1.30,7.00,4.57,0.0667,"
",Hillsborough Township,1022179,63.33,14,106,2.64,24.00,4.52,0.1321,"
",Westwego,1018083,0.00,0,20,,0.00,,0.0000,"
